,account_id,type,total_licenses,engagement_ratio,no_engaged_users
323,MJDIMBM271,Customer,323.0,0.9411764705882353,32
324,MM4P61NHVC,Customer,168.0,0.03571428571428571,2
325,MMXIXV6CKM,Customer,112.0,0.05357142857142857,1
326,MNHIE9EDE1,Customer,1000205.0,0.0007218520203358311,49
327,MSYG91MMO1,Customer,95.0,0.8947368421052632,5
328,MUB6LBU9W3,Customer,1000008.0,0.0012479900160798714,35
329,MUURMYBD2Q,Customer,60.0,0.5,2
330,MUZUQED0GV,Customer,62.0,0.2903225806451613,7
331,MWU4CFILKJ,Customer,111.0,0.06306306306306306,1
332,N89LTAJW25,Customer,342.0,0.4766081871345029,6
333,N8LFJDTVV2,Customer,147.0,0.41496598639455784,9
334,N9DL5TGSQ7,Customer,1000306.0,0.0008237479331324615,27
335,NAM148P0TV,Customer,454.0,0.6916299559471366,24
336,NAVYCS44PH,Customer,112.0,0.22321428571428573,5
337,NF9W5N9C70,Customer,62.0,0.6774193548387096,3
338,NFFYKPL3CH,Customer,172.0,0.9883720930232558,10
339,NG806W819F,Customer,701.0,0.637660485021398,72
340,NGIXMC4SX2,Customer,58.0,0.3275862068965517,3
341,NGUCZH9IER,Customer,56.0,0.2857142857142857,4
342,NHPVRWBRBL,Customer,1000111.0,1.3998446172474855e-05,1
343,NTCAGRP2U4,Customer,518.0,0.2084942084942085,7
344,NTJLMZ04X0,Customer,146.0,0.6917808219178082,10
345,NZ3A8V4X7Y,Customer,217.0,0.07373271889400922,2
346,NZRF5A7QY8,Customer,223.0,0.09865470852017937,1
347,O119XP9N56,Customer,526.0,0.039923954372623575,5
348,O5URTXUYUC,Customer,676.0,0.10502958579881656,12
349,O6OUZ1EGNT,Customer,57.0,0.6666666666666666,3
350,O75RH8LX6D,Customer,5276.0,0.05970432145564822,39
351,OAU8P1WKIS,Customer,126.0,0.36507936507936506,8
352,OB7NUGPJ60,Customer,176.0,0.24431818181818182,7
353,OC1YFMHBYH,Customer,260.0,0.823076923076923,49
354,ODLCTT058C,Customer,331.0,0.6072507552870091,10
355,OEJV9LHALC,Customer,196.0,0.5408163265306123,8
356,ONJPI163YK,Customer,105.0,1.5333333333333334,10
357,OR9F5IV86Z,Customer,78.0,0.782051282051282,16
358,OROI5J8YIT,Customer,62.0,0.5161290322580645,2
359,OW2R576VIL,Customer,421.0,0.8812351543942993,82
360,P1WZ2NAR3S,Customer,1000054.0,0.002310875212738512,99
361,P6BEFFLZM7,Customer,0.0,,32
362,P767J2DG1W,Customer,127.0,0.16535433070866143,1
363,P8DJKLUYLU,Customer,223.0,0.14349775784753363,6
364,PCWE4C1V47,Customer,326.0,0.5950920245398773,6
365,PHR62GDSWM,Customer,127.0,2.2992125984251968,64
366,PHWHM54XR8,Customer,37.0,0.5405405405405406,3
367,PJPF240SHD,Customer,193.0,0.533678756476684,17
368,PP00CDNZY4,Customer,612.0,0.05228758169934641,4
369,PU3ET1OVEJ,Customer,2075.0,0.21012048192771085,5
370,Q46NOUHFJ7,Customer,111.0,0.5765765765765766,3
371,Q9J2H1TLOM,Customer,1000031.0,1.5999504015375524e-05,1
372,QBEXGFVNNV,Customer,228.0,0.5964912280701754,7
373,QEOZ0KZ4Z7,Customer,76.0,0.2894736842105263,3
374,QERXDOUADV,Customer,1116.0,0.02867383512544803,3
375,QFEZKFH00A,Customer,5168.0,0.007352941176470588,3
376,QMVQWPQO2L,Customer,101.0,0.13861386138613863,3
